Device,Model,Seq_Len,MSE,MAE
设备0,iTransformer,3,0.08031266927719116,0.039017703384160995
设备0,iTransformer,6,0.07873265445232391,0.04311540722846985
设备0,iTransformer,12,0.07905510067939758,0.05023388937115669
设备0,iTransformer,24,0.07379662245512009,0.05519828572869301
设备1,PatchTST,3,0.0020524642895907164,0.0027502919547259808
设备1,PatchTST,6,0.0020022676326334476,0.0027740048244595528
设备1,PatchTST,12,0.0019820628222078085,0.0030706359539180994
设备1,PatchTST,24,0.0021635100711137056,0.005346051417291164
设备10,PatchTST,3,0.0029667397029697895,0.0039037775713950396
设备10,PatchTST,6,0.002983383135870099,0.004396399483084679
设备10,PatchTST,12,0.0030225268565118313,0.004299477208405733
设备10,PatchTST,24,0.0030998452566564083,0.005649356637150049
设备11,PatchTST,3,0.0029695481061935425,0.003935144282877445
设备11,PatchTST,6,0.002987341023981571,0.0043680667877197266
设备11,PatchTST,12,0.0030384601559489965,0.004446755163371563
设备11,PatchTST,24,0.0030846043955534697,0.005440263077616692
设备12,iTransformer,3,0.001974982675164938,0.003812015289440751
设备12,iTransformer,6,0.001975295366719365,0.002848452189937234
设备12,iTransformer,12,0.001991477096453309,0.0031343104783445597
设备12,iTransformer,24,0.001973350765183568,0.003096078522503376
设备13,iTransformer,3,0.0019736068788915873,0.003626707475632429
设备13,iTransformer,6,0.001990505727007985,0.002956732641905546
设备13,iTransformer,12,0.001986513379961252,0.0030769736040383577
设备13,iTransformer,24,0.0019692189525812864,0.0030428017489612103
设备14,iTransformer,3,0.11092613637447357,0.053661976009607315
设备14,iTransformer,6,0.10786376893520355,0.05577519163489342
设备14,iTransformer,12,0.10853981971740723,0.06180766224861145
设备14,iTransformer,24,0.10871710628271103,0.06469937413930893
设备16,PatchTST,3,0.003998500294983387,0.006522142793983221
设备16,PatchTST,6,0.0035161434207111597,0.005037294700741768
设备16,PatchTST,12,0.0037470676470547915,0.006975209340453148
设备16,PatchTST,24,0.0035076953936368227,0.005645422730594873
设备17,PatchTST,3,0.0028741485439240932,0.004125109873712063
设备17,PatchTST,6,0.002997207222506404,0.004386069718748331
设备17,PatchTST,12,0.00310083688236773,0.005974309053272009
设备17,PatchTST,24,0.002951699774712324,0.004713345784693956
设备18,PatchTST,3,0.0029291866812855005,0.004030991345643997
设备18,PatchTST,6,0.0030454546213150024,0.00470623979344964
设备18,PatchTST,12,0.003120335517451167,0.006011365447193384
设备18,PatchTST,24,0.0029844020027667284,0.004764930345118046
设备19,iTransformer,3,0.04538186639547348,0.017258871346712112
设备19,iTransformer,6,0.04493077099323273,0.017718711867928505
设备19,iTransformer,12,0.044986702501773834,0.017753520980477333
设备19,iTransformer,24,0.044505901634693146,0.019047416746616364
设备2,iTransformer,3,0.009394817985594273,0.011969411745667458
设备2,iTransformer,6,0.009453963488340378,0.012260216288268566
设备2,iTransformer,12,0.00946615356951952,0.013284748420119286
设备2,iTransformer,24,0.009646722115576267,0.01685100980103016
设备20,PatchTST,3,0.043484169989824295,0.015664540231227875
设备20,PatchTST,6,0.04393383860588074,0.017157629132270813
设备20,PatchTST,12,0.045286163687705994,0.02118460088968277
设备20,PatchTST,24,0.043560538440942764,0.020540084689855576
设备21,PatchTST,3,0.0024857521057128906,0.00415453827008605
设备21,PatchTST,6,0.0024848829489201307,0.0036265284288674593
设备21,PatchTST,12,0.002705933526158333,0.005457952618598938
设备21,PatchTST,24,0.002526146825402975,0.004072077106684446
设备23,iTransformer,3,0.002470626262947917,0.00455770269036293
设备23,iTransformer,6,0.002461543306708336,0.003574702888727188
设备23,iTransformer,12,0.0024643067736178637,0.0033985315822064877
设备23,iTransformer,24,0.002465267200022936,0.0032627114560455084
设备24,iTransformer,3,0.0024666062090545893,0.004315278492867947
设备24,iTransformer,6,0.0024622511118650436,0.003674567211419344
设备24,iTransformer,12,0.0024661971256136894,0.0034943916834890842
设备24,iTransformer,24,0.002466899575665593,0.003300705226138234
设备25,iTransformer,3,0.0024677037727087736,0.004408737178891897
设备25,iTransformer,6,0.0024617768358439207,0.0035991475451737642
设备25,iTransformer,12,0.0024664595257490873,0.003544020466506481
设备25,iTransformer,24,0.002470545470714569,0.003500441089272499
设备26,PatchTST,3,0.001507731736637652,0.0019181717652827501
设备26,PatchTST,6,0.0015045144828036427,0.00232864310964942
设备26,PatchTST,12,0.0015150690451264381,0.002401510486379266
设备26,PatchTST,24,0.0015310855815187097,0.002636346500366926
设备27,PatchTST,3,0.0020565888844430447,0.002929403679445386
设备27,PatchTST,6,0.001991554629057646,0.0027473196387290955
设备27,PatchTST,12,0.0020358432084321976,0.0032047173008322716
设备27,PatchTST,24,0.002172184409573674,0.004143557045608759
设备28,PatchTST,3,0.0020575691014528275,0.00318291992880404
设备28,PatchTST,6,0.002061660634353757,0.002966252388432622
设备28,PatchTST,12,0.0020514049101620913,0.0031471168622374535
设备28,PatchTST,24,0.0021036395337432623,0.0041493321768939495
设备29,PatchTST,3,0.002128995256498456,0.0033926679752767086
设备29,PatchTST,6,0.0020200018770992756,0.002733784494921565
设备29,PatchTST,12,0.002046347828581929,0.004076957702636719
设备29,PatchTST,24,0.002277266699820757,0.005297647789120674
设备3,iTransformer,3,0.007384324446320534,0.009193831123411655
设备3,iTransformer,6,0.0073771788738667965,0.00837154034525156
设备3,iTransformer,12,0.007415327243506908,0.009107405319809914
设备3,iTransformer,24,0.0073877121321856976,0.009993039071559906
设备30,PatchTST,3,0.0021180633921176195,0.0030267364345490932
设备30,PatchTST,6,0.0019783959724009037,0.0031313239596784115
设备30,PatchTST,12,0.002049617236480117,0.0032466636039316654
设备30,PatchTST,24,0.002202847972512245,0.005219309125095606
设备31,PatchTST,3,0.0021034465171396732,0.002770964289084077
设备31,PatchTST,6,0.001983592053875327,0.0031106083188205957
设备31,PatchTST,12,0.0022447616793215275,0.0054296343587338924
设备31,PatchTST,24,0.002089916029945016,0.003988034091889858
设备32,PatchTST,3,0.0022631948813796043,0.003300413955003023
设备32,PatchTST,6,0.0020791704300791025,0.0033746440894901752
设备32,PatchTST,12,0.002041683066636324,0.003196893958374858
设备32,PatchTST,24,0.002004807349294424,0.0032963240519165993
设备33,PatchTST,3,0.002785062650218606,0.004269120283424854
设备33,PatchTST,6,0.0025897871237248182,0.003918967209756374
